huc12,tohuc,name,areasqkm,states,sum.ras_crp_18_2012_50m,sum.ras_crp_18_2013_50m,sum.ras_crp_18_2014_50m,sum.ras_crp_18_2015_50m,sum.ras_crp_18_2016_50m,sum.ras_crp_18_2017_50m,sum.ras_crp_18_2018_50m,sum.ras_crp_18_2019_50m,sum.ras_crp_18_2020_50m,sum.ras_crp_18_2021_50m,sum.ras_crp_18_2022_50m
051201030502,051201030510,Lake Branch-Mississinewa River,50.5,IN,3444,3286,3280,3286,3232,3232,3232,2916,2904,2904,3430
051201030503,051201030510,Barren Creek,53.66,IN,7594,7758,8378,7758,6798,6864,6864,5764,5516,4300,3826
050800030107,050800030108,Beard Run-Martindale Creek,62.02,IN,7424,7242,6914,7242,8104,8104,8262,8262,6998,6998,4744
041000040604,041000040606,Snyder Ditch-Saint Marys River,51.22,IN,3710,3692,3138,3692,3692,3692,3662,3200,2568,2568,2568
050800030108,050800030205,Pronghorn Run-Whitewater River,70.48,IN,8886.8798828125,8776.8798828125,9262.8798828125,7950.8798828125,7950.8798828125,7950.8798828125,6614.8798828125,6462.8798828125,6450.8798828125,7070.8798828125,6870.8798828125
051201030505,051201030506,Little Walnut Creek-Walnut Creek,42.41,IN,2150,3104,3104,2236,1282,1282,2558,2394,2394,2394,2394
051201030506,051201030510,Walnut Creek,60.33,IN,20784.302734375,16002.302734375,20456.302734375,14732.302734375,14732.302734375,14732.302734375,14804.302734375,13698.302734375,12954,12322,11052
051201030510,051201030511,Branch Creek-Mississinewa River,59.26,IN,6421.3369140625,6421.3369140625,6421.3369140625,6409.3369140625,4823.3369140625,4823.3369140625,7994.4677734375,8135.3369140625,7781.64013671875,5832,3318
051201030511,051201030601,Boots Creek-Mississinewa River,55.21,IN,2294,2294,2452,2276,2294,2768,1516,1516,1516,626,626
051201030601,051201030603,Hummel Creek-Mississinewa River,84.47,IN,5824,5782,11916,6138,7748,6478,7110,6436,6478,5540.8974609375,5540.8974609375
050800030205,050800030401,Shaker Run-Whitewater River,37.28,IN,5832,6160,5692,6324,6220,6932,6932,5668,5346,4708,7394
050800030301,050800030302,Headwaters Nolands Fork,43.94,IN,9688,9916,8736,8926,8914,9254,9206,9218,9060,9270,9104
051201030604,051201030605,Forked Branch-Mississinewa River,58.1,IN,6989.32470703125,6919.32470703125,3073.32470703125,2773.32470703125,2773.32470703125,22869.32421875,22869.32421875,22429.32421875,22429.32421875,22107.32421875,21592
051201030603,051201030604,Grant Creek-Mississinewa River,78.36,IN,28584.84375,28432.84375,25918.84375,22152.84375,22662.84375,22662.84375,23482.84375,22528.84375,21974.84375,23902.84375,22924.16796875
