huc12,tohuc,name,areasqkm,states,sum,area_sqkm
071200010307,071200010308,Lemler Ditch-Dausman Ditch,69.56,IN,22100.99609375,55.252490234375
071200010308,071200010310,Dausman Ditch,67.58,IN,21714.458984375,54.2861474609375
051201061003,051201061004,Thompson Ditch-Big Monon Ditch,49.74,IN,14114.2734375,35.28568359375
071200010310,071200010312,Stone Ditch-Yellow River,58.89,IN,18485.9453125,46.21486328125
071200010403,071200010405,Travis Ditch,100.04,IN,13508.16796875,33.770419921875
051201061001,051201061002,Scholtz Ditch,58.46,IN,16392.919921875,40.9822998046875
051201061002,051201061003,Headwaters Big Monon Ditch,71.25,IN,19166.259765625,47.9156494140625
051201061005,051201061007,Antrim Ditch,77.16,IN,21214.79296875,53.036982421875
051201061102,051201061104,Hill Ditch,43.62,IN,15325.8896484375,38.31472412109375
051201061006,051201061007,Mosley Ditch,49.56,IN,16363.251953125,40.9081298828125
051201061007,051201061008,Stein Ditch-Big Monon Ditch,81.32,IN,27686.7890625,69.21697265625
051201061101,051201061103,Kesler Ditch-McKillip Ditch,77.37,IN,26880.435546875,67.2010888671875
051201061104,051201061208,Brown Ditch-Big Monon Creek,64.98,IN,18734.634765625,46.8365869140625
050800030711,050800030713,Simpson Creek-East Fork Whitewater River,45.14,IN,8409.228515625,21.0230712890625
050800030304,050800030305,Common Run-Nolands Fork,60.97,IN,13698.541015625,34.2463525390625
050800030305,050800030401,Butlers Creek-Nolands Fork,42.35,IN,10713.0146484375,26.78253662109375
050800030712,050800030713,Whitewater Lake-Silver Creek,51.91,IN,10743.955078125,26.8598876953125
051201090903,051201090906,Lick Creek,108,"IL,IN",22851.462890625,57.1286572265625
051201030606,051201011602,Town of Peoria-Mississinewa River,24.59,IN,4936.07958984375,12.340198974609375
051201090905,051201090907,Coal Branch,41.42,"IL,IN",11115.6142578125,27.78903564453125
051201090906,051201090907,White Branch-Vermilion River,54.12,"IL,IN",6009.32080078125,15.023302001953125
